Feature,Importance
Coughing of Blood,0.1805524989158715
Fatigue,0.15354904718318618
Alcohol use,0.145480886936394
Wheezing,0.14471669546628718
Passive Smoker,0.12070811216634857
Smoking,0.0848502135012667
Clubbing of Finger Nails,0.03365868096642303
Age,0.029707901887149907
Frequent Cold,0.027760047980433952
Dust Allergy,0.02608199274667836
Shortness of Breath,0.021579592020991176
Obesity,0.011032965259580833
Snoring,0.009074934879296146
Swallowing Difficulty,0.005486865788250084
Air Pollution,0.0035947447524533513
chronic Lung Disease,0.0014949294245343698
Weight Loss,0.0004571912883641923
Chest Pain,0.00015714751186560332
OccuPational Hazards,3.329113497607933e-05
Genetic Risk,2.223327349358047e-05
Dry Cough,1.847480576618168e-08
Balanced Diet,8.441349342929385e-09
Gender,0.0
