Feature,Importance
Coughing of Blood,0.1241172555932118
Passive Smoker,0.08879091846342123
Obesity,0.08845601003970836
Wheezing,0.07235975076328831
Fatigue,0.06953246424169356
Balanced Diet,0.06203546508013506
Dust Allergy,0.054860290883518764
Clubbing of Finger Nails,0.0441025821042532
Shortness of Breath,0.04245456491510199
Alcohol use,0.04204989999272858
Snoring,0.03452729428619607
Swallowing Difficulty,0.03444804281275026
Air Pollution,0.032316552701385955
Genetic Risk,0.032068014129589005
Chest Pain,0.030780503406569612
Smoking,0.0276377725025797
Frequent Cold,0.02522107885240292
Weight Loss,0.024244066034165457
chronic Lung Disease,0.023806531087881347
OccuPational Hazards,0.02249724692765682
Dry Cough,0.016904935760273
Age,0.005995092901646364
Gender,0.0007936665198424902
